uf;anomes;valor;regiao
Mato Grosso;200905;12058150.55;Centro-Oeste
Goiás;200905;23947606.91;Centro-Oeste
Distrito Federal;200905;15199322.19;Centro-Oeste
Rondônia;200906;3706711.84;Norte
Acre;200906;2432831.95;Norte
Amazonas;200906;8832894.53;Norte
Roraima;200906;1490587.74;Norte
Pará;200906;25440701.25;Norte
Amapá;200906;1787587.54;Norte
Tocantins;200906;6423393.4;Norte
Maranhão;200906;17459229.54;Nordeste
Piauí;200906;13372660.4;Nordeste
Ceará;200906;34514430.28;Nordeste
Rio Grande do Norte;200906;12353310.44;Nordeste
Paraíba;200906;15879160.72;Nordeste
Pernambuco;200906;37147961.64;Nordeste
Alagoas;200906;11469923.64;Nordeste
Sergipe;200906;5608324.33;Nordeste
Bahia;200906;49132821.82;Nordeste
Minas Gerais;200906;96189182.42;Sudeste
Espírito Santo;200906;14289482.15;Sudeste
Rio de Janeiro;200906;50720818.82;Sudeste
São Paulo;200906;217195249.91;Sudeste
Paraná;200906;66280753.0;Sul
Santa Catarina;200906;34559792.1;Sul
Rio Grande do Sul;200906;62495363.9;Sul
Mato Grosso do Sul;200906;12050259.66;Centro-Oeste
Mato Grosso;200906;11635436.04;Centro-Oeste
Goiás;200906;24369848.15;Centro-Oeste
Distrito Federal;200906;15839446.0;Centro-Oeste
Rondônia;200907;3763187.55;Norte
Acre;200907;2630190.65;Norte
Amazonas;200907;9373395.97;Norte
Roraima;200907;1596751.8;Norte
Pará;200907;28079331.88;Norte
Amapá;200907;1763665.03;Norte
Tocantins;200907;6349231.85;Norte
Maranhão;200907;18021648.34;Nordeste
Piauí;200907;13310452.49;Nordeste
Ceará;200907;33985745.09;Nordeste
Rio Grande do Norte;200907;12888827.03;Nordeste
Paraíba;200907;15978811.22;Nordeste
Pernambuco;200907;37200037.82;Nordeste
Alagoas;200907;11073104.51;Nordeste
Sergipe;200907;5805868.8;Nordeste
Bahia;200907;51239968.87;Nordeste
Minas Gerais;200907;102754354.58;Sudeste
Espírito Santo;200907;14759638.93;Sudeste
Rio de Janeiro;200907;55050238.31;Sudeste
São Paulo;200907;220761157.51;Sudeste
Paraná;200907;69158603.32;Sul
Santa Catarina;200907;37817434.39;Sul
Rio Grande do Sul;200907;64614271.83;Sul
Mato Grosso do Sul;200907;12174950.98;Centro-Oeste
Mato Grosso;200907;11698836.48;Centro-Oeste
